asin,title,original_price,discounted_price,rating,weight,brand,categories
1601694806,"Melissa & Doug Children's Book - Poke-A-Dot: Dinosaurs A to Z (Board Book with Buttons to Pop) - Dinosaur Pop It Book, Push Pop Book For Toddlers And Kids Ages 3+",13.99,12.27,4.70,2.4000000000,Melissa & Doug,Toys&Games>Baby&ToddlerToys
B00000JHQG,"Duracell Coppertop 9V Battery, 2 Count Pack, 9-Volt Battery with Long-lasting Power, All-Purpose Alkaline 9V Battery for Household and Office Devices",10.99,8.79,4.80,0.1762500000,DURACELL,Health&Household>HouseholdSupplies
B00001P4ZH,"Koss Porta Pro On Ear Headphones with Case, Black / Silver",49.99,39.99,4.60,0.4000000000,Koss,"Electronics>Headphones,Earbuds&Accessories>Headphones&Earbuds"
B0000225P5,"DEWALT DW2542 1/4-Inch Hex Drive to 3/8-Inch Socket Adapter , Silver",3.91,2.25,4.80,0.0396250000,DEWALT,Automotive>Tools&Equipment
B0000302WR,"Klein Tools D2000-28 Pliers, Diagonal Cutting Pliers with Angled Head are Heavy-Duty to Cut ACSR, Screws, Nails, Most Hardened Wire, 8-Inch",38.54,31.40,4.80,0.0375000000,Klein Tools,Automotive>Tools&Equipment
B0000302YN,"Dremel 120-Volt Engraver Rotary Tool with Stencils - Crafting Machine Perfect for DIY Personalizing and Engraving Leather, Metal, Glass, and Wood , Black, 290-02",34.14,24.70,4.40,0.7500000000,Dremel,"Arts,Crafts&Sewing>Beading&JewelryMaking"
B00004OCJW,OXO Good Grips Soft-Handled Manual Can Opener,16.95,14.38,4.70,0.5500000000,OXO,Home&Kitchen>Kitchen&Dining
B00004SPEU,"Krups One-Touch Coffee and Spice Grinder 3 Ounce Bean Hopper Easy to Use, One Touch Operation 200 Watts Coffee, Spices, Dry Herbs, Nuts, 12 Cup Black",24.00,18.95,4.50,1.5400000000,KRUPS,Home&Kitchen>Kitchen&Dining
B00004T8R2,"Panasonic RPHT21 Lightweight Headphones w/XBS, Black",9.79,7.99,4.30,0.0750000000,Panasonic,"Electronics>Headphones,Earbuds&Accessories>Headphones&Earbuds"
B00004THXI,"Winsor & Newton Cotman Watercolor Paint Set, Sketchers' Pocket Set, 12 Half Pans w/ Brush",34.59,16.96,4.70,0.1981250000,Winsor & Newton,"Arts,Crafts&Sewing>Painting,Drawing&ArtSupplies"
